order_id,date,weekday,hour,channel,customer_type,category,product,quantity,unit_price,discount_pct,ticket_amount,wait_minutes,satisfaction,returned_within_30d
ORD-01488,2025-01-01,Wednesday,8,Takeaway,Nuevo,Almuerzo,Bagel,1,4771.0,0.0,4771.0,12.4,3.7,0
ORD-05760,2025-01-01,Wednesday,8,Mostrador,Habitual,Bebidas frías,Iced latte,2,2723.0,0.05,5173.0,6.7,5.0,1
ORD-02442,2025-01-01,Wednesday,9,Mostrador,Nuevo,Café,Espresso,1,1973.0,0.0,1973.0,9.3,5.0,0
ORD-05083,2025-01-01,Wednesday,9,Delivery,Habitual,Bebidas frías,Limonada,1,3037.0,0.0,3037.0,21.9,3.3,0
ORD-04691,2025-01-01,Wednesday,10,Mostrador,Nuevo,Almuerzo,Ensalada,2,5071.0,0.15,8620.0,8.0,5.0,0
ORD-05462,2025-01-01,Wednesday,10,Mostrador,Habitual,Almuerzo,Ensalada,1,5806.0,0.0,5806.0,12.8,4.5,1
ORD-06302,2025-01-01,Wednesday,10,Mostrador,Frecuente,Desayuno,Yogur + granola,3,5233.0,0.0,15698.0,9.8,4.4,0
ORD-02316,2025-01-01,Wednesday,11,Mostrador,Habitual,Desayuno,Combo desayuno,1,3779.0,0.0,3779.0,6.0,4.2,0
ORD-03674,2025-01-01,Wednesday,14,Mostrador,Habitual,Desayuno,Avocado toast,3,4062.0,0.0,12187.0,9.4,5.0,0
ORD-01409,2025-01-01,Wednesday,15,Mostrador,Habitual,Café,Latte,3,1834.0,0.0,5501.0,6.5,5.0,0
ORD-01996,2025-01-01,Wednesday,15,Delivery,Habitual,Almuerzo,Tostado,2,5844.0,0.0,11687.0,16.0,3.9,0
ORD-01949,2025-01-01,Wednesday,16,Takeaway,Habitual,Almuerzo,Wrap,1,4674.0,0.0,4674.0,4.6,4.6,0
ORD-02259,2025-01-01,Wednesday,17,Takeaway,Habitual,Pastelería,Medialuna,1,1835.0,0.0,1835.0,5.4,5.0,1
ORD-01482,2025-01-01,Wednesday,19,Delivery,Habitual,Café,Espresso,1,1982.0,0.05,1883.0,18.4,3.7,0
ORD-00381,2025-01-02,Thursday,9,Delivery,Habitual,Café,Espresso,1,1636.0,0.0,1636.0,19.6,3.7,0
ORD-05170,2025-01-02,Thursday,9,Mostrador,Habitual,Bebidas frías,Licuado,2,2901.0,0.0,5802.0,4.3,5.0,0
